"Id","ComponentGroup","TokenKey","CssVariable","DefaultValue","CurrentValue","Category","Description","IsActive","SortOrder","CreatedAt","UpdatedAt","Family","Variant","GroupName"
"10","btn","primary-bg","--ds-btn-primary-bg","#0d6efd","#0d6efd","color","Primary button background colour","1","10","2026-05-12 00:00:00","2026-05-15 15:39:04","basic","primary","basic-primary"
"11","btn","primary-text","--ds-btn-primary-text","#ffffff","#ffffff","color","Primary button text colour","1","11","2026-05-12 00:00:00","2026-05-15 15:39:04","basic","primary","basic-primary"
"12","btn","primary-border","--ds-btn-primary-border","#0d6efd","#0d6efd","color","Primary button border colour","1","12","2026-05-12 00:00:00","2026-05-15 15:39:04","basic","primary","basic-primary"
"13","btn","primary-bg-hover","--ds-btn-primary-bg-hover","#0b5ed7","#0b5ed7","color","Primary button hover background colour","1","13","2026-05-12 00:00:00","2026-05-15 15:39:04","basic","primary","basic-primary"
"20","btn","secondary-bg","--ds-btn-secondary-bg","transparent",NULL,"color","Secondary button background colour","1","20","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","secondary","basic-secondary"
"21","btn","secondary-text","--ds-btn-secondary-text","#212529",NULL,"color","Secondary button text colour","1","21","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","secondary","basic-secondary"
"22","btn","secondary-border","--ds-btn-secondary-border","#dee2e6",NULL,"color","Secondary button border colour","1","22","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","secondary","basic-secondary"
"23","btn","secondary-bg-hover","--ds-btn-secondary-bg-hover","#f8f9fa",NULL,"color","Secondary button hover background colour","1","23","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","secondary","basic-secondary"
"30","btn","success-bg","--ds-btn-success-bg","#198754",NULL,"color","Success button background colour","1","30","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","success","basic-success"
"31","btn","success-text","--ds-btn-success-text","#ffffff",NULL,"color","Success button text colour","1","31","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","success","basic-success"
"32","btn","success-border","--ds-btn-success-border","#198754",NULL,"color","Success button border colour","1","32","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","success","basic-success"
"33","btn","success-bg-hover","--ds-btn-success-bg-hover","#157347",NULL,"color","Success button hover background colour","1","33","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","success","basic-success"
"40","btn","danger-bg","--ds-btn-danger-bg","#dc3545",NULL,"color","Danger button background colour","1","40","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","danger","basic-danger"
"41","btn","danger-text","--ds-btn-danger-text","#ffffff",NULL,"color","Danger button text colour","1","41","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","danger","basic-danger"
"42","btn","danger-border","--ds-btn-danger-border","#dc3545",NULL,"color","Danger button border colour","1","42","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","danger","basic-danger"
"43","btn","danger-bg-hover","--ds-btn-danger-bg-hover","#bb2d3b",NULL,"color","Danger button hover background colour","1","43","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","danger","basic-danger"
"50","btn","warning-bg","--ds-btn-warning-bg","#ffc107",NULL,"color","Warning button background colour","1","50","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","warning","basic-warning"
"51","btn","warning-text","--ds-btn-warning-text","#212529",NULL,"color","Warning button text colour","1","51","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","warning","basic-warning"
"52","btn","warning-border","--ds-btn-warning-border","#ffc107",NULL,"color","Warning button border colour","1","52","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","warning","basic-warning"
"53","btn","warning-bg-hover","--ds-btn-warning-bg-hover","#ffca2c",NULL,"color","Warning button hover background colour","1","53","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","warning","basic-warning"
"60","btn","info-bg","--ds-btn-info-bg","#0dcaf0",NULL,"color","Info button background colour","1","60","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","info","basic-info"
"61","btn","info-text","--ds-btn-info-text","#212529",NULL,"color","Info button text colour","1","61","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","info","basic-info"
"62","btn","info-border","--ds-btn-info-border","#0dcaf0",NULL,"color","Info button border colour","1","62","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","info","basic-info"
"63","btn","info-bg-hover","--ds-btn-info-bg-hover","#31d2f2",NULL,"color","Info button hover background colour","1","63","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","info","basic-info"
"70","btn","structure-radius","--ds-btn-structure-radius","6px",NULL,"structure","Button border radius","1","70","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","default","basic-default"
"71","btn","structure-font-size","--ds-btn-structure-font-size","0.875rem",NULL,"structure","Button font size","1","71","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","default","basic-default"
"72","btn","structure-padding-y","--ds-btn-structure-padding-y","7px",NULL,"structure","Button vertical padding","1","72","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","default","basic-default"
"73","btn","structure-padding-x","--ds-btn-structure-padding-x","16px",NULL,"structure","Button horizontal padding","1","73","2026-05-12 00:00:00","2026-05-12 00:00:00","basic","default","basic-default"
"100","card","base-bg","--ds-card-base-bg","#ffffff",NULL,"color","Card background colour","1","100","2026-05-12 00:00:00","2026-05-12 00:00:00","default","base","default-base"
"101","card","base-border","--ds-card-base-border","#dee2e6",NULL,"color","Card border colour","1","101","2026-05-12 00:00:00","2026-05-12 00:00:00","default","base","default-base"
"102","card","structure-radius","--ds-card-structure-radius","8px",NULL,"structure","Card border radius","1","102","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"103","card","structure-shadow","--ds-card-structure-shadow","0 1px 4px rgba(0, 0, 0, 0.06)",NULL,"structure","Card box shadow","1","103","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"104","card","header-bg","--ds-card-header-bg","#f8f9fa",NULL,"color","Card header background colour","1","104","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"105","card","structure-padding","--ds-card-structure-padding","1.25rem",NULL,"structure","Card body padding","1","105","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"106","btn","light-bg","--ds-btn-light-bg","#f8f9fa",NULL,"color","Light button background","1","106","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","light","basic-light"
"107","btn","light-text","--ds-btn-light-text","#212529",NULL,"color","Light button text","1","107","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","light","basic-light"
"108","btn","light-border","--ds-btn-light-border","#f8f9fa",NULL,"color","Light button border","1","108","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","light","basic-light"
"109","btn","light-bg-hover","--ds-btn-light-hover-bg","#e2e6ea",NULL,"color","Light button hover background","1","109","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","light","basic-light"
"110","btn","light-text-hover","--ds-btn-light-hover-text","#212529",NULL,"color","Light button hover text","1","110","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","light","basic-light"
"111","btn","light-border-hover","--ds-btn-light-hover-border","#dae0e5",NULL,"color","Light button hover border","1","111","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","light","basic-light"
"112","btn","light-bg-disabled","--ds-btn-light-disabled-bg","#f8f9fa",NULL,"color","Light button disabled background","1","112","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","light","basic-light"
"113","btn","light-text-disabled","--ds-btn-light-disabled-text","#212529",NULL,"color","Light button disabled text","1","113","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","light","basic-light"
"114","btn","light-border-disabled","--ds-btn-light-disabled-border","#f8f9fa",NULL,"color","Light button disabled border","1","114","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","light","basic-light"
"115","btn","dark-bg","--ds-btn-dark-bg","#212529",NULL,"color","Dark button background","1","115","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","dark","basic-dark"
"116","btn","dark-text","--ds-btn-dark-text","#ffffff",NULL,"color","Dark button text","1","116","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","dark","basic-dark"
"117","btn","dark-border","--ds-btn-dark-border","#212529",NULL,"color","Dark button border","1","117","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","dark","basic-dark"
"118","btn","dark-bg-hover","--ds-btn-dark-hover-bg","#1c1f23",NULL,"color","Dark button hover background","1","118","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","dark","basic-dark"
"119","btn","dark-text-hover","--ds-btn-dark-hover-text","#ffffff",NULL,"color","Dark button hover text","1","119","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","dark","basic-dark"
"120","btn","dark-border-hover","--ds-btn-dark-hover-border","#1a1e21",NULL,"color","Dark button hover border","1","120","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","dark","basic-dark"
