"Id","CreatedAt","UpdatedAt","ItemType","Route","Label","Description","Icon","ParentId","SortOrder","Category","GroupName","GroupIcon","IsFlat","Status","IsHidden"
"200100","2026-05-12 01:41:09","2026-05-12 01:41:09","category",NULL,"Dashboard","Phase 8 – Dashboard category","bi-speedometer2",NULL,"200100",NULL,NULL,NULL,"0",NULL,"0"
"200110","2026-05-12 01:41:09","2026-05-12 01:41:09","menu","/globalsettings/dashboard","Dashboard","Dashboard home","bi-speedometer2","200100","200110",NULL,NULL,NULL,"1",NULL,"0"
"200200","2026-05-12 01:41:09","2026-05-12 01:41:09","category",NULL,"Apps","Phase 8 – Apps category","bi-app",NULL,"200200",NULL,NULL,NULL,"0",NULL,"0"
"200210","2026-05-12 01:41:09","2026-05-12 01:41:09","menu","/globalsettings/apps","Apps","Apps overview","bi-app","200200","200210",NULL,NULL,NULL,"1",NULL,"0"
"200300","2026-05-12 01:41:09","2026-05-12 01:41:09","category",NULL,"Widgets","Phase 8 – Widgets category","bi-grid-1x2",NULL,"200300",NULL,NULL,NULL,"0",NULL,"0"
"200310","2026-05-12 01:41:09","2026-05-12 01:41:09","menu","/globalsettings/widgets","Widgets","Widgets overview","bi-grid-1x2","200300","200310",NULL,NULL,NULL,"1",NULL,"0"
"200400","2026-05-12 01:41:09","2026-05-12 01:41:09","category",NULL,"Component","Phase 8 – Component category","bi-grid-3x3-gap",NULL,"200400",NULL,NULL,NULL,"0",NULL,"0"
"200410","2026-05-12 01:41:09","2026-05-12 01:41:09","menu",NULL,"UI Kits","UI Kits group","bi-grid-3x3-gap-fill","200400","200410",NULL,NULL,NULL,"0",NULL,"0"
"200411","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/cheatsheet","Cheatsheet",NULL,"bi-journal-code","200410","200411",NULL,NULL,NULL,"0",NULL,"0"
"200412","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/alert","Alert",NULL,"bi-exclamation-triangle","200410","200412",NULL,NULL,NULL,"0",NULL,"0"
"200413","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/badges","Badges",NULL,"bi-tag","200410","200413",NULL,NULL,NULL,"0",NULL,"0"
"200414","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/buttons","Buttons",NULL,"bi-stop-btn","200410","200414",NULL,NULL,NULL,"0",NULL,"0"
"200415","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/cards","Cards",NULL,"bi-card-heading","200410","200415",NULL,NULL,NULL,"0",NULL,"0"
"200416","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/dropdown","Dropdown",NULL,"bi-chevron-down","200410","200416",NULL,NULL,NULL,"0",NULL,"0"
"200417","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/grid","Grid",NULL,"bi-grid","200410","200417",NULL,NULL,NULL,"0",NULL,"0"
"200418","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/avatar","Avatar",NULL,"bi-person-circle","200410","200418",NULL,NULL,NULL,"0",NULL,"0"
"200419","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/tabs","Tabs",NULL,"bi-folder","200410","200419",NULL,NULL,NULL,"0",NULL,"0"
