user_id,menu_item_id,is_granted,is_default,custom_order,is_custom
2,1010000,1,0,1,0
2,1010100,1,0,2,0
2,1010200,1,1,3,0
2,1010300,1,0,4,0
2,1010400,1,0,5,0
2,1020100,1,0,6,0
2,1020200,1,0,7,0
2,1020500,1,0,8,0
2,1030300,1,0,9,0
2,1030500,1,0,10,0
2,1030600,1,0,11,0
2,1030800,1,0,12,0
2,1040100,1,0,13,0
2,1040300,1,0,14,0
2,1040400,1,0,15,0
2,1050100,1,0,16,0
2,1050400,1,0,17,0
2,1060100,1,0,18,0
2,1060300,1,0,19,0
2,1060400,1,0,20,0
2,1070100,1,0,21,0
2,1070200,1,0,22,0
2,1070300,1,0,23,0
2,1070400,1,0,24,0
2,1070500,1,0,25,0
2,1080100,1,0,26,0
2,1080200,1,0,27,0
2,1080400,1,0,28,0
2,1080500,1,0,29,0
2,1090100,1,0,30,0
2,1090200,1,0,31,0
2,1160100,1,0,32,0
2,1160300,1,0,33,0
2,1160500,1,0,34,0
1,1010000,1,0,1,0
1,1010100,1,0,2,0
1,1010200,1,1,3,0
1,1010300,1,0,4,0
1,1010400,1,0,5,0
1,1010500,1,0,6,0
1,1010600,1,0,7,0
1,1010700,1,0,8,0
1,1010710,1,0,9,0
1,1010720,1,0,10,0
1,1010730,1,0,11,0
1,1010740,1,0,12,0
1,1020000,1,0,13,0
1,1020100,1,0,14,0
1,1020200,1,0,15,0
1,1020300,1,0,16,0
1,1020400,1,0,17,0
1,1020500,1,0,18,0
1,1020600,1,0,19,0
1,1020700,1,0,20,0
1,1030000,1,0,21,0
1,1030100,1,0,22,0
1,1030200,1,0,23,0
1,1030300,1,0,24,0
1,1030400,1,0,25,0
1,1030500,1,0,26,0
1,1030600,1,0,27,0
1,1030700,1,0,28,0
1,1030800,1,0,29,0
1,1030900,1,0,30,0
1,1031000,1,0,31,0
1,1040000,1,0,32,0
1,1040100,1,0,33,0
1,1040200,1,0,34,0
1,1040300,1,0,35,0
1,1040400,1,0,36,0
1,1040500,1,0,37,0
1,1040600,1,0,38,0
1,1040700,1,0,39,0
1,1050000,1,0,40,0
1,1050100,1,0,41,0
1,1050200,1,0,42,0
1,1050300,1,0,43,0
1,1050400,1,0,44,0
1,1050500,1,0,45,0
1,1060000,1,0,46,0
1,1060100,1,0,47,0
1,1060200,1,0,48,0
1,1060300,1,0,49,0
1,1060400,1,0,50,0
1,1060500,1,0,51,0
1,1060600,1,0,52,0
1,1070000,1,0,53,0
1,1070100,1,0,54,0
1,1070200,1,0,55,0
1,1070300,1,0,56,0
1,1070400,1,0,57,0
1,1070500,1,0,58,0
1,1070600,1,0,59,0
1,1070700,1,0,60,0
1,1080000,1,0,61,0
1,1080100,1,0,62,0
1,1080200,1,0,63,0
1,1080300,1,0,64,0
1,1080400,1,0,65,0
1,1080500,1,0,66,0
1,1080600,1,0,67,0
1,1080700,1,0,68,0
1,1080800,1,0,69,0
1,1080900,1,0,70,0
1,1081000,1,0,71,0
1,1090000,1,0,72,0
1,1090100,1,0,73,0
1,1090200,1,0,74,0
1,1090300,1,0,75,0
1,1090400,1,0,76,0
1,1090500,1,0,77,0
1,1090600,1,0,78,0
1,1100000,1,0,79,0
1,1100100,1,0,80,0
1,1100200,1,0,81,0
1,1100300,1,0,82,0
1,1100400,1,0,83,0
1,1100500,1,0,84,0
1,1100600,1,0,85,0
1,1100700,1,0,86,0
1,1110000,1,0,87,0
1,1110100,1,0,88,0
1,1110200,1,0,89,0
1,1110300,1,0,90,0
1,1110400,1,0,91,0
1,1110500,1,0,92,0
1,1110600,1,0,93,0
1,1110700,1,0,94,0
1,1120000,1,0,95,0
1,1120100,1,0,96,0
1,1120200,1,0,97,0
1,1120300,1,0,98,0
1,1120400,1,0,99,0
1,1120500,1,0,100,0
1,1130000,1,0,101,0
1,1130100,1,0,102,0
1,1130200,1,0,103,0
1,1130300,1,0,104,0
1,1130400,1,0,105,0
1,1140000,1,0,106,0
1,1140100,1,0,107,0
1,1140200,1,0,108,0
1,1140300,1,0,109,0
1,1140400,1,0,110,0
1,1140500,1,0,111,0
1,1150000,1,0,112,0
1,1150100,1,0,113,0
1,1150200,1,0,114,0
1,1150300,1,0,115,0
1,1150400,1,0,116,0
1,1160000,1,0,117,0
1,1160100,1,0,118,0
1,1160200,1,0,119,0
1,1160300,1,0,120,0
1,1160400,1,0,121,0
1,1160500,1,0,122,0
1,1170000,1,0,123,0
1,1170100,1,0,124,0
1,1170200,1,0,125,0
1,1170300,1,0,126,0
1,1170400,1,0,127,0
1,1170500,1,0,128,0
1,1170600,1,0,129,0
1,1170700,1,0,130,0
