role_type_id,role_type,menu_item_id,is_granted,is_default,assigned_at,status,notes
1,user,1010000,1,0,26/08/2025 00:00,active,Main dashboard
1,user,1010100,1,0,26/08/2025 00:00,active,System status overview
1,user,1010200,1,1,26/08/2025 00:00,active,Your recent activity
1,user,1010300,1,0,26/08/2025 00:00,active,Shortcuts for common actions
1,user,1010400,1,0,26/08/2025 00:00,active,Agent-specific dashboard
1,user,1020100,1,0,26/08/2025 00:00,active,Create a new ticket
1,user,1020200,1,0,26/08/2025 00:00,active,Your assigned tickets
1,user,1020500,1,0,26/08/2025 00:00,active,Closed tickets
1,user,1030300,1,0,26/08/2025 00:00,active,Project overview
1,user,1030500,1,0,26/08/2025 00:00,active,Tasks linked to project
1,user,1030600,1,0,26/08/2025 00:00,active,Tickets linked to project
1,user,1030800,1,0,26/08/2025 00:00,active,Project files
1,user,1040100,1,0,26/08/2025 00:00,active,Your assigned tasks
1,user,1040300,1,0,26/08/2025 00:00,active,Task templates
1,user,1040400,1,0,26/08/2025 00:00,active,Task statuses
1,user,1050100,1,0,26/08/2025 00:00,active,Browse articles
1,user,1050400,1,0,26/08/2025 00:00,active,Article feedback
1,user,1060100,1,0,26/08/2025 00:00,active,My calendar
1,user,1060300,1,0,26/08/2025 00:00,active,Ticket due dates
1,user,1060400,1,0,26/08/2025 00:00,active,Task due dates
1,user,1070100,1,0,26/08/2025 00:00,active,Inbox
1,user,1070200,1,0,26/08/2025 00:00,active,Sent emails
1,user,1070300,1,0,26/08/2025 00:00,active,Draft emails
1,user,1070400,1,0,26/08/2025 00:00,active,Ticket emails
1,user,1070500,1,0,26/08/2025 00:00,active,Task emails
1,user,1080100,1,0,26/08/2025 00:00,active,Upload file
1,user,1080200,1,0,26/08/2025 00:00,active,My files
1,user,1080400,1,0,26/08/2025 00:00,active,Ticket files
1,user,1080500,1,0,26/08/2025 00:00,active,Task documents
1,user,1090100,1,0,26/08/2025 00:00,active,Ticket statistics
1,user,1090200,1,0,26/08/2025 00:00,active,Task completion rates
1,user,1160100,1,0,26/08/2025 00:00,active,Getting started
1,user,1160300,1,0,26/08/2025 00:00,active,Frequently asked questions
1,user,1160500,1,0,26/08/2025 00:00,active,Submit feedback
2,admin,1010000,1,0,26/08/2025 00:00,active,Main dashboard
2,admin,1010100,1,1,26/08/2025 00:00,active,System status overview
2,admin,1010500,1,0,26/08/2025 00:00,active,Manager dashboard
2,admin,1010600,1,0,26/08/2025 00:00,active,Admin dashboard
2,admin,1020300,1,0,26/08/2025 00:00,active,List all tickets
2,admin,1020400,1,0,26/08/2025 00:00,active,Unassigned tickets
2,admin,1020500,1,0,26/08/2025 00:00,active,Closed tickets
2,admin,1020600,1,0,26/08/2025 00:00,active,Ticket templates
2,admin,1020700,1,0,26/08/2025 00:00,active,Ticket tags
2,admin,1030100,1,0,26/08/2025 00:00,active,List all projects
2,admin,1030300,1,0,26/08/2025 00:00,active,Project overview
2,admin,1030400,1,0,26/08/2025 00:00,active,Project milestones
2,admin,1030500,1,0,26/08/2025 00:00,active,Tasks linked to project
2,admin,1030600,1,0,26/08/2025 00:00,active,Tickets linked to project
2,admin,1030700,1,0,26/08/2025 00:00,active,Setup project team
2,admin,1030800,1,0,26/08/2025 00:00,active,Project files
2,admin,1031000,1,0,26/08/2025 00:00,active,Project reports
2,admin,1040200,1,0,26/08/2025 00:00,active,Team tasks
2,admin,1040300,1,0,26/08/2025 00:00,active,Task templates
2,admin,1040400,1,0,26/08/2025 00:00,active,Task statuses
2,admin,1050200,1,0,26/08/2025 00:00,active,Manage articles
2,admin,1050300,1,0,26/08/2025 00:00,active,Article categories
2,admin,1050400,1,0,26/08/2025 00:00,active,Article feedback
2,admin,1050500,1,0,26/08/2025 00:00,active,Drafts review queue
2,admin,1060200,1,0,26/08/2025 00:00,active,Team calendar
2,admin,1060300,1,0,26/08/2025 00:00,active,Ticket due dates
2,admin,1060400,1,0,26/08/2025 00:00,active,Task due dates
2,admin,1070100,1,0,26/08/2025 00:00,active,Inbox
2,admin,1070200,1,0,26/08/2025 00:00,active,Sent emails
2,admin,1070400,1,0,26/08/2025 00:00,active,Ticket emails
2,admin,1070600,1,0,26/08/2025 00:00,active,Email templates
2,admin,1070700,1,0,26/08/2025 00:00,active,Email settings
2,admin,1080300,1,0,26/08/2025 00:00,active,Shared files
2,admin,1080400,1,0,26/08/2025 00:00,active,Ticket files
2,admin,1080500,1,0,26/08/2025 00:00,active,Task documents
2,admin,1080600,1,0,26/08/2025 00:00,active,Knowledge base assets
2,admin,1080800,1,0,26/08/2025 00:00,active,File metadata
2,admin,1080900,1,0,26/08/2025 00:00,active,Retention rules
2,admin,1081000,1,0,26/08/2025 00:00,active,Access logs
2,admin,1090100,1,0,26/08/2025 00:00,active,Ticket statistics
2,admin,1090200,1,0,26/08/2025 00:00,active,Task completion rates
2,admin,1090300,1,0,26/08/2025 00:00,active,Agent performance score
2,admin,1090400,1,0,26/08/2025 00:00,active,Customer satisfaction
2,admin,1090500,1,0,26/08/2025 00:00,active,System logs
2,admin,1090600,1,0,26/08/2025 00:00,active,Export data and reports
2,admin,1100100,1,0,26/08/2025 00:00,active,All users
2,admin,1100200,1,0,26/08/2025 00:00,active,Add user
2,admin,1100300,1,0,26/08/2025 00:00,active,User activity
2,admin,1100500,1,0,26/08/2025 00:00,active,Roles and access
2,admin,1100600,1,0,26/08/2025 00:00,active,Role menus
2,admin,1100700,1,0,26/08/2025 00:00,active,User menus
2,admin,1110000,1,0,26/08/2025 00:00,active,Settings
2,admin,1110100,1,0,26/08/2025 00:00,active,System settings
2,admin,1110200,1,0,26/08/2025 00:00,active,Ticket settings
2,admin,1110300,1,0,26/08/2025 00:00,active,Task settings
2,admin,1110400,1,0,26/08/2025 00:00,active,Notification settings
2,admin,1110500,1,0,26/08/2025 00:00,active,Security settings
2,admin,1110600,1,0,26/08/2025 00:00,active,API links
2,admin,1110700,1,0,26/08/2025 00:00,active,Audit trail
2,admin,1120000,1,0,26/08/2025 00:00,active,Admin tools
2,admin,1120100,1,0,26/08/2025 00:00,active,Import/export data
